SuperWEB2(tm)

"Census 2022-Person-2Gv2"
"Scotland's Census 2022 - National Records of Scotland Table UV102a - Age (single year) by sex All people"
"Health Board Area 2019 by Age by Sex by Individuals"
"Counting: Individuals"

Filters:
"Summation Options","Individuals"

"Counting","Health Board Area 2019","Age","Sex","Count",
"Individuals","Ayrshire and Arran","83","Male",933
"Individuals","Ayrshire and Arran","84","All people",1850
"Individuals","Ayrshire and Arran","84","Female",1076
"Individuals","Ayrshire and Arran","84","Male",774
"Individuals","Ayrshire and Arran","85 and over","All people",9851
"Individuals","Ayrshire and Arran","85 and over","Female",6160
"Individuals","Ayrshire and Arran","85 and over","Male",3693
"Individuals","Borders","All people","All people",116821
"Individuals","Borders","All people","Female",60059
"Individuals","Borders","All people","Male",56762
"Individuals","Borders","Under 1","All people",862
"Individuals","Borders","Under 1","Female",416
"Individuals","Borders","Under 1","Male",446
"Individuals","Borders","1","All people",872
"Individuals","Borders","1","Female",396
"Individuals","Borders","1","Male",476
"Individuals","Borders","2","All people",973
"Individuals","Borders","2","Female",450
"Individuals","Borders","2","Male",523
"Individuals","Borders","3","All people",996
"Individuals","Borders","3","Female",458
"Individuals","Borders","3","Male",538
"Individuals","Borders","4","All people",1056
"Individuals","Borders","4","Female",489
"Individuals","Borders","4","Male",568
"Individuals","Borders","5","All people",1065
"Individuals","Borders","5","Female",543
"Individuals","Borders","5","Male",522
"Individuals","Borders","6","All people",1138
"Individuals","Borders","6","Female",553
"Individuals","Borders","6","Male",588
"Individuals","Borders","7","All people",1085
"Individuals","Borders","7","Female",566
"Individuals","Borders","7","Male",522
"Individuals","Borders","8","All people",1227
"Individuals","Borders","8","Female",598
"Individuals","Borders","8","Male",629
"Individuals","Borders","9","All people",1214
"Individuals","Borders","9","Female",599
"Individuals","Borders","9","Male",615
"Individuals","Borders","10","All people",1244
"Individuals","Borders","10","Female",607
"Individuals","Borders","10","Male",636
"Individuals","Borders","11","All people",1302
"Individuals","Borders","11","Female",612
"Individuals","Borders","11","Male",686
"Individuals","Borders","12","All people",1270
"Individuals","Borders","12","Female",634
"Individuals","Borders","12","Male",636
"Individuals","Borders","13","All people",1307
"Individuals","Borders","13","Female",663
"Individuals","Borders","13","Male",644
"Individuals","Borders","14","All people",1300
"Individuals","Borders","14","Female",655
"Individuals","Borders","14","Male",648
"Individuals","Borders","15","All people",1311
"Individuals","Borders","15","Female",638
"Individuals","Borders","15","Male",673
"Individuals","Borders","16","All people",1230
"Individuals","Borders","16","Female",580
"Individuals","Borders","16","Male",650
"Individuals","Borders","17","All people",1254
"Individuals","Borders","17","Female",613
"Individuals","Borders","17","Male",641
"Individuals","Borders","18","All people",1030
"Individuals","Borders","18","Female",460
"Individuals","Borders","18","Male",570
"Individuals","Borders","19","All people",987
"Individuals","Borders","19","Female",472
"Individuals","Borders","19","Male",515
"Individuals","Borders","20","All people",994
"Individuals","Borders","20","Female",474
"Individuals","Borders","20","Male",520
"Individuals","Borders","21","All people",982
"Individuals","Borders","21","Female",454
"Individuals","Borders","21","Male",528
"Individuals","Borders","22","All people",982
"Individuals","Borders","22","Female",521
"Individuals","Borders","22","Male",459
"Individuals","Borders","23","All people",940
"Individuals","Borders","23","Female",451
"Individuals","Borders","23","Male",489
"Individuals","Borders","24","All people",994
"Individuals","Borders","24","Female",507
"Individuals","Borders","24","Male",487
"Individuals","Borders","25","All people",993
"Individuals","Borders","25","Female",495
"Individuals","Borders","25","Male",498
"Individuals","Borders","26","All people",1043
"Individuals","Borders","26","Female",517
"Individuals","Borders","26","Male",526
"Individuals","Borders","27","All people",1032
"Individuals","Borders","27","Female",522
"Individuals","Borders","27","Male",513
"Individuals","Borders","28","All people",1046
"Individuals","Borders","28","Female",527
"Individuals","Borders","28","Male",523
"Individuals","Borders","29","All people",1115
"Individuals","Borders","29","Female",585
"Individuals","Borders","29","Male",530
"Individuals","Borders","30","All people",1125
"Individuals","Borders","30","Female",605
"Individuals","Borders","30","Male",517
"Individuals","Borders","31","All people",1174
"Individuals","Borders","31","Female",606
"Individuals","Borders","31","Male",564
"Individuals","Borders","32","All people",1155
"Individuals","Borders","32","Female",603
"Individuals","Borders","32","Male",552
"Individuals","Borders","33","All people",1115
"Individuals","Borders","33","Female",586
"Individuals","Borders","33","Male",532
"Individuals","Borders","34","All people",1188
"Individuals","Borders","34","Female",595
"Individuals","Borders","34","Male",592
"Individuals","Borders","35","All people",1122
"Individuals","Borders","35","Female",611
"Individuals","Borders","35","Male",511
"Individuals","Borders","36","All people",1166
"Individuals","Borders","36","Female",620
"Individuals","Borders","36","Male",550
"Individuals","Borders","37","All people",1161
"Individuals","Borders","37","Female",636
"Individuals","Borders","37","Male",528
"Individuals","Borders","38","All people",1249
"Individuals","Borders","38","Female",654
"Individuals","Borders","38","Male",595
"Individuals","Borders","39","All people",1263
"Individuals","Borders","39","Female",676
"Individuals","Borders","39","Male",587
"Individuals","Borders","40","All people",1253
"Individuals","Borders","40","Female",668
"Individuals","Borders","40","Male",585
"Individuals","Borders","41","All people",1301
"Individuals","Borders","41","Female",667
"Individuals","Borders","41","Male",634
"Individuals","Borders","42","All people",1253
"Individuals","Borders","42","Female",625
"Individuals","Borders","42","Male",629
"Individuals","Borders","43","All people",1223
"Individuals","Borders","43","Female",612
"Individuals","Borders","43","Male",611
"Individuals","Borders","44","All people",1155
"Individuals","Borders","44","Female",586
"Individuals","Borders","44","Male",569
"Individuals","Borders","45","All people",1160
"Individuals","Borders","45","Female",600
"Individuals","Borders","45","Male",560
